"Part";"Value";"Device";"Package";"Description";"";
"C1";"100nF";"CAPC0603";"C0603";"";"";
"H1";"MOUNTHOLE-PAD3.2";"MOUNTHOLE-PAD3.2";"3.2-PAD";"";"";
"H2";"MOUNTHOLE-PAD3.2";"MOUNTHOLE-PAD3.2";"3.2-PAD";"";"";
"H3";"MOUNTHOLE-PAD3.2";"MOUNTHOLE-PAD3.2";"3.2-PAD";"";"";
"H4";"MOUNTHOLE-PAD3.2";"MOUNTHOLE-PAD3.2";"3.2-PAD";"";"";
"J2";"GROVE-CONNECTOR-2PAD4UCON17312";"GROVE-CONNECTOR-2PAD4UCON17312";"4UCON17312";"";"";
"Q1";"SSM3K16FU";"MOSFET-NCHSOT323";"SOT323";"";"";
"Q2";"SSM3K16FU";"MOSFET-NCHSOT323";"SOT323";"";"";
"Q3";"SSM3K16FU";"MOSFET-NCHSOT323";"SOT323";"";"";
"Q4";"SSM3K16FU";"MOSFET-NCHSOT323";"SOT323";"";"";
"R1";"10K";"RESISTOR0603";"R0603";"";"";
"R2";"10K";"RESISTOR0603";"R0603";"";"";
"R3";"10K";"RESISTOR0603";"R0603";"";"";
"R4";"10K";"RESISTOR0603";"R0603";"";"";
"R5";"10K";"RESISTOR0603";"R0603";"";"";
"R6";"10K";"RESISTOR0603";"R0603";"";"";
"R7";"10K";"RESISTOR0603";"R0603";"";"";
"R8";"10K";"RESISTOR0603";"R0603";"";"";
"R9";"0R";"RESISTOR0603";"R0603";"";"";
"R10";"0R";"RESISTOR0603";"R0603";"";"";
"R11";"0R";"RESISTOR0603";"R0603";"";"";
"R12";"0R";"RESISTOR0603";"R0603";"";"";
"R13";"0R";"RESISTOR1206";"R1206";"";"";
"R14";"0R";"RESISTOR1206";"R1206";"";"";
"R15";"0R";"RESISTOR1206";"R1206";"";"";
"R16";"0R";"RESISTOR1206";"R1206";"";"";
"U1";"TINYPICO";"TINYPICO";"TINYPICO";"";"";
"X4";"QWIIC";"QWIICRA";"JST-SH-4-SMD-RA";"";"";
